,Matched,Keypoint
orb,15699238.477,38930430.862
torb,8486092.184,18479839.679
corb,11821680.000,28666000.000
cporb,22177260.000,55146000.000
sift,4694488.978,9400090.180
tsift,3117014.028,4814428.858
csift,4449038.076,8684539.078
cpsift,4876673.347,9322975.952
spoint,2006240.000,8095000.000
tspoint,1311140.000,3988000.000
cspoint,1505450.902,6502635.271
cpspoint,1874320.000,7232000.000
alike,620160.000,13117000.000
talike,439940.000,4845000.000
calike,714940.000,11749000.000
cpalike,703620.000,11071000.000
sphorb,17145671.343,50341152.305
